The Chronicles of Narnia: The Lion the Witch a...,TRUE,1,TRUE,ActionRole-Playing (RPG),,TRUE,65,0.18,12.95,Nintendo DS,T,TRUE,2005,4.35
Shrek SuperSlam,TRUE,1,TRUE,Action,Activision,TRUE,56,0.18,11.95,Nintendo DS,E,TRUE,2005,1.216666667
Virtua Tennis: World Tour,TRUE,1,TRUE,Sports,Sega,TRUE,84,0.18,14.95,Sony PSP,M,TRUE,2005,0
Prince of Persia: Revelations,TRUE,1,TRUE,Action,Ubisoft,TRUE,65,0.17,6.95,Sony PSP,E,TRUE,2005,0
Burnout Legends,TRUE,1,TRUE,ActionRacing / Driving,EA,TRUE,38,0.16,17.95,Nintendo DS,E,TRUE,2005,12.83333333
Meteos,TRUE,1,TRUE,Strategy,Nintendo,TRUE,88,0.16,15.95,Nintendo DS,E,TRUE,2005,17.26666667
Spyro: Shadow Legacy,TRUE,1,TRUE,Role-Playing (RPG),,TRUE,50,0.15,17.95,Nintendo DS,E,TRUE,2005,4
The Con,TRUE,1,TRUE,Action,Sony,TRUE,63,0.15,8.95,Sony PSP,E,TRUE,2005,0
Infected,TRUE,1,TRUE,Action,,TRUE,74,0.15,17.95,Sony PSP,E,TRUE,2005,6.666666667
Pursuit Force,TRUE,1,TRUE,ActionRacing / Driving,Sony,TRUE,75,0.14,14.95,Sony PSP,M,TRUE,2005,9.833333333
Kingdom of Paradise,TRUE,2,TRUE,ActionRole-Playing (RPG),Sony,TRUE,72,0.13,12.95,Sony PSP,E,TRUE,2005,23
Dragon Ball Z: Supersonic Warriors 2,TRUE,1,TRUE,Action,Atari,TRUE,66,0.13,22.95,Nintendo DS,E,TRUE,2005,15.08333333
Dragon Quest Heroes: Rocket Slime,TRUE,1,TRUE,Action,SquareEnix,TRUE,83,0.13,12.95,Nintendo DS,T,TRUE,2005,15.1
Dead to Rights: Reckoning,TRUE,1,TRUE,Action,Namco,TRUE,54,0.13,14.95,Sony PSP,E,TRUE,2005,3.1
Amped 3,TRUE,1,TRUE,Sports,2K,TRUE,72,0.13,14.95,X360,E,TRUE,2005,8.566666667
Break 'em All,TRUE,1,TRUE,Action,,TRUE,68,0.12,17.95,Nintendo DS,T,TRUE,2005,0
Lunar: Dragon Song,TRUE,1,TRUE,Role-Playing (RPG),Ubisoft,TRUE,59,0.12,14.95,Nintendo DS,M,TRUE,2005,25.63333333
Madden NFL 06,TRUE,1,TRUE,Sports,EA,TRUE,66,0.12,9.95,Nintendo DS,E,TRUE,2005,3.75
Retro Atari Classics,TRUE,1,TRUE,ActionRacing / DrivingSimulation,Atari,TRUE,51,0.12,12.95,Nintendo DS,E,TRUE,2005,0
True Swing Golf,TRUE,1,TRUE,Sports,Nintendo,TRUE,66,0.12,14.95,Nintendo DS,E,TRUE,2005,0
FIFA Soccer,TRUE,1,TRUE,Sports,EA,TRUE,73,0.12,14.95,Sony PSP,E,TRUE,2005,0
Metal Gear Ac!d 2,TRUE,1,TRUE,Strategy,Konami,TRUE,80,0.12,12.95,Sony PSP,E,TRUE,2005,14.83333333
ATV Quad Frenzy,TRUE,1,TRUE,Racing / DrivingSports,,TRUE,35,0.11,14.95,Nintendo DS,T,TRUE,2005,0
Bomberman,TRUE,1,TRUE,Strategy,Ubisoft,TRUE,75,0.11,17.95,Nintendo DS,E,TRUE,2005,3.333333333
GoldenEye: Rogue Agent,TRUE,1,TRUE,Action,EA,TRUE,58,0.11,14.95,Nintendo DS,T,TRUE,2005,9.416666667
Need for Speed Underground 2,TRUE,1,TRUE,Racing / Driving,EA,TRUE,65,0.11,22.95,Nintendo DS,T,TRUE,2005,20.96666667
Frogger: Helmet Chaos,TRUE,1,TRUE,Action,Konami,TRUE,66,0.11,19.95,Sony PSP,E,TRUE,2005,0
The Lord of the Rings: Tactics,TRUE,1,TRUE,Role-Playing (RPG)Strategy,EA,TRUE,64,0.11,19.95,Sony PSP,M,TRUE,2005,5
Rengoku: The Tower of Purgatory,TRUE,1,TRUE,ActionRole-Playing (RPG),Konami,TRUE,43,0.11,12.95,Sony PSP,E,TRUE,2005,4.716666667
Gretzky NHL,TRUE,2,TRUE,Sports,Sony,TRUE,61,0.1,9.95,Sony PSP,E,TRUE,2005,0
Ridge Racer 6,TRUE,2,TRUE,Racing / Driving,EANamco,TRUE,74,0.1,14.95,X360,E,TRUE,2005,8
Ford Racing 3,TRUE,1,TRUE,ActionRacing / Driving,,TRUE,49,0.1,14.95,Nintendo DS,E,TRUE,2005,7.1
NHL 2K6 ,TRUE,1,TRUE,Sports,2K,TRUE,75,0.1,5.95,X360,T,TRUE,2005,2.5
Bust-a-Move DS,TRUE,1,TRUE,ActionStrategy,,TRUE,75,0.09,17.95,Nintendo DS,E,TRUE,2005,0
Battles of Prince of Persia,TRUE,1,TRUE,Strategy,Ubisoft,TRUE,64,0.09,14.95,Nintendo DS,E,TRUE,2005,8.5
GripShift,TRUE,1,TRUE,Racing / Driving,Ubisoft,TRUE,70,0.09,9.95,Sony PSP,E,TRUE,2005,0
Marvel Nemesis: Rise of the Imperfects ,TRUE,1,TRUE,Action,EA,TRUE,34,0.08,14.95,Nintendo DS,T,TRUE,2005,5.033333333
Scooby-Doo! Unmasked,TRUE,1,TRUE,Action,THQ,TRUE,60,0.08,17.95,Nintendo DS,E,TRUE,2005,8
Viewtiful Joe: Double Trouble!,TRUE,1,TRUE,Action,Capcom,TRUE,73,0.08,14.95,Nintendo DS,E,TRUE,2005,5.166666667
The Legend of Heroes: A Tear of Vermillion,TRUE,1,TRUE,Role-Playing (RPG),,TRUE,68,0.08,17.95,Sony PSP,T,TRUE,2005,31.28333333
PQ: Practical Intelligence Quotient,TRUE,1,TRUE,Strategy,,TRUE,69,0.08,14.95,Sony PSP,E,TRUE,2005,0
Lost in Blue,TRUE,1,TRUE,Role-Playing (RPG),Konami,TRUE,69,0.07,24.95,Nintendo DS,T,TRUE,2005,24.15
