Kamisama Kiss,Manga,154,Finished,Feb 20 2008 to May 20 2016,Comedy / Demons / Fantasy / Romance / Shoujo / Supernatural,Suzuki Julietta (Story & Art),Hana to Yume,8.53,102,114,25197
Ace of Diamond,Manga,Ongoing,Publishing,Aug 19 2015 to ?,School / Shounen / Sports,Terajima Yuuji (Story & Art),Shounen Magazine (Weekly),8.53,103,1318,3382
Eighty Six,Novel,Ongoing,Publishing,Feb 10 2017 to ?,Drama / Sci-Fi,Shirabi (Art)  Asato Asato (Story),None,8.52,104,1710,1224
Number Six,Novel,43,Finished,Oct 10 2003 to Jun 14 2011,Action / Mystery / Sci-Fi,Asano Atsuko (Story),None,8.52,107,656,4260
Eyeshield 21,Manga,333,Finished,Jul 23 2002 to Jun 15 2009,Action / Comedy / Shounen / Sports,Inagaki Riichiro (Story)  Murata Yusuke (Art),Shounen Jump (Weekly),8.52,105,157,26729
The Twelve Kingdoms,Novel,Ongoing,Publishing,Jun 20 1992 to ?,Fantasy,Ono Fuyumi (Story)  Yamada Akihiro (Art),None,8.52,106,1965,986
Cross Game,Manga,170,Finished,Sep 2 2005 to Feb 17 2010,Comedy / Drama / Romance / School / Shounen / Sports,Adachi Mitsuru (Story & Art),Shounen Sunday,8.51,109,756,6335
The World God Only Knows,Manga,271,Finished,Apr 9 2008 to Apr 23 2014,Comedy / Fantasy / Romance / School / Shounen / Harem / Supernatural,Wakaki Tamiki (Story & Art),Shounen Sunday,8.51,110,60,47490
A Silent Voice Extra,One-shot,1,Finished,Aug 7 2013 to Nov 19 2014 ,Drama / School / Shounen,Ooima Yoshitoki (Story & Art),Bessatsu Shounen Magazine,8.51,108,160,28179
Hinamatsuri,Manga,Ongoing,Finished,Jun 15 2010 to Jul 15 2020,Comedy / Sci-Fi / Slice of Life / Seinen,Ohtake Masao (Story & Art),Harta,8.49,114,302,8641
When the Seagulls Cry,Novel,Ongoing,Finished,Jul 1 2009 to Aug 3 2010,Mystery / Fantasy / Horror / Supernatural / Psychological / Thriller,Ryukishi07 (Story)  Tomohi (Art),None,8.5,111,3166,1061
Yona of the Dawn,Novel,Ongoing,Publishing,Mar 20 2015 to ?,Adventure / Historical / Romance / Shoujo,Kusanagi Mizuho (Art)  Fujitani Touko (Story),None,8.49,113,1347,1989
Noragami: Stray God,Manga,Ongoing,Publishing,Dec 23 2010 to ?,Action / Fantasy / Romance / Shounen / Supernatural,Adachitoka (Story & Art),Shounen Magazine (Monthly),8.49,113,29,40806
Horimiya,Manga,Ongoing,Publishing,Oct 18 2011 to ?,Comedy / Romance / School / Shounen / Slice of Life,Hagiwara Daisuke (Art)  HERO (Story),GFantasy,8.49,115,14,66060
Your name.,Manga,9,Finished,May 27 2016 to Jan 27 2017,Drama / Romance / School / Supernatural / Seinen,Shinkai Makoto (Story)  Kotone Ranmaru (Art),Comic Alive,8.49,116,241,12215
Fruits Basket,Manga,136,Finished,Jul 18 1998 to Nov 20 2006,Comedy / Drama / Romance / School / Shoujo / Supernatural,Takaya Natsuki (Story & Art),Hana to Yume,8.49,117,38,56740
Holy Land,Manga,182,Finished,Oct 13 2000 to May 23 2008,Action / Martial Arts / Psychological / Seinen,Mori Kouji (Story & Art),Young Animal,8.49,118,186,18050
It's My Turn!!,Manga,366,Finished,1988 to Oct 1997,Comedy / School / Shounen,Nishimori Hiroyuki (Story & Art),Shounen Sunday,8.49,119,825,4063
Black Butler,Manga,Ongoing,Publishing,Sep 16 2006 to ?,Action / Demons / Mystery / Fantasy / Historical / Shounen / Supernatural,Toboso Yana (Story & Art),GFantasy,8.48,120,30,49675
The Climber,Manga,170,Finished,2007 to 2012,Drama / Sports / Psychological / Seinen,Sakamoto Shinichi (Story & Art),Young Jump,8.48,121,298,9608
Masturbation Master Kurosawa,Manga,31,Finished,Sep 2007 to Mar 2008,Drama / School / Psychological,Yokota Takuma (Art)  Ise Katsura (Story),None,8.48,122,59,50304
Bakemonogatari,Manga,Ongoing,Publishing,Mar 14 2018 to ?,Action / Comedy / Mystery / Drama / Romance / Shounen / Vampire / Supernatural,Oh! Great (Art)  NISIO ISIN (Story),Shounen Magazine (Weekly),8.48,124,969,3194
Here U Are,Manhua,Ongoing,Publishing,Nov 22 2017 to ?,Drama / School / Shounen / Slice of Life,D Jun (Story & Art),None,8.48,124,3393,1486
Golden Kamuy,Manga,Ongoing,Publishing,Aug 21 2014 to ?,Action / Adventure / Historical / Seinen,Noda Satoru (Story & Art),Young Jump,8.48,123,231,9003
I Want to Eat Your Pancreas,Manga,10,Finished,Aug 25 2016 to May 25 2017,Drama,Kirihara Idumi (Art)  Sumino Yoru (Story),Monthly Action,8.48,126,564,8288
The Breaker: New Waves,Manhwa,203,Finished,Oct 8 2010 to May 8 2015,Action / Comedy / Drama / Martial Arts / Romance / School,Park Jin-Hwan (Art)  Jeon Geuk-jin (Story),Daum Webtoon,8.47,127,86,40169
Fullmetal Alchemist Novel,Novel,35,Finished,Feb 2003 to Apr 22 2010,Action / Adventure / Comedy / Mystery / Drama / Historical / Shounen / Supernatural / Psychological,Arakawa Hiromu (Art)  Inoue Makoto (Story),None,8.47,128,988,3941
